NAME;CaCl2;h_mis;Rcore
01mM_4v;0.1;;1440
01mM_4;0.1;;1364
01mM_5;0.1;;1306
01mM_6;0.1;;1452
01mM_7;0.1;;1293
1mM_4;1;;1519
1mM_6;1;;1294
1mM_7;1;;1214
2mM_1;2;;1419
2mM_2;2;;1277
2mM_3;2;;1291
5mM_1;5;81;953
5mM_2;5;69;980
10mM_2;10;133;1200
10mM_3;10;102;1162
10mM_4;10;147;1092
10mM_5;10;146;1055
10mM_6;10;104;1110
10mM_7;10;124;1061
15mM_1;15;193;1164
15mM_4;15;177;1189
15mM_5;15;224;1208
20mM_1;20;189;1201
20mM_2;20;238;1181
20mM_3;20;296;1146
20mM_4;20;272;1150
20mM_5;20;245;1259
20mM_6;20;192;1145
30mM_1;30;318;1222
30mM_2;30;323;1216
30mM_3;30;344;1210
30mM_4;30;295;1214
50mM_1;50;391;1223
50mM_2;50;492;1246
50mM_4;50;443;1262
100mM_1;100;711;1301
100mM_2;100;769;1188
100mM_3;100;817;1162
