CaCl2,Rcore,PDI_RCore,h_CaCl2,RMeans_mean,RMeans_std,RbgMeans_mean,RbgMeans_std,RBMeans_mean,RBMeans_std,h_RB
0.1,1371.0,0.002883529354807647,1.5256329427806299,0.41972893,0.047291134,0.15235618,0.027544016,-0.04336052,0.017729882,-211.64941092178685
1.0,1342.3333333333333,0.013879186117003004,14.790393016580857,0.41060233,0.10810026,0.077495635,0.091677144,-0.05064258,0.048962314,-223.76255824998657
2.0,1329.0,0.0034672505054519735,28.974555382328607,0.38302395,0.056866083,0.15080468,0.04470936,-0.04433551,0.010730812,-213.2712326695031
5.0,966.5,0.00039020588579278577,51.087399590859214,0.71239096,0.019353412,0.41494617,0.021420673,0.107699685,0.018897224,39.62764647134756
10.0,1113.3333333333333,0.0026602961741188282,112.31649660488756,0.75681895,0.029140348,0.47409067,0.047379024,0.16123568,0.03576616,128.68065775781568
15.0,1187.0,0.00034564280690348756,172.17192033712226,0.77535844,0.013922103,0.5091314,0.0062696123,0.20944937,0.011295743,208.88043163958824
20.0,1180.3333333333333,0.0014302939838727858,219.59611100856245,0.8069021,0.013757809,0.5096119,0.023371223,0.23834448,0.054270156,256.94522930716016
30.0,1215.5,1.6921158063752492e-5,316.6036110088818,0.81274176,0.008513303,0.512373,0.02920178,0.31111073,0.016661212,377.98631701968975
50.0,1243.6666666666667,0.00024848493512488653,481.8963901911251,0.8105502,0.0066113765,0.48808596,0.032803442,0.33738425,0.02165826,421.69029910860615
100.0,1217.0,0.003687151818695567,768.439102779991,0.81260794,0.022800503,0.49291584,0.035115108,0.49233806,0.03864321,679.4440656668082
