NAME,CaCl2,h_mis,Rcore,Ym,h_CaCl2,RMean,RbgMean,RBMean,h_RB
01mM_4v,0.1,,1440.0,,1.6024153447148848,0.33857876,0.12621365,-0.046747528,-217.28343855519705
01mM_4,0.1,,1364.0,,1.5178434237438214,0.4558403,0.12710115,-0.039338015,-204.95828234943025
01mM_5,0.1,,1306.0,,1.4533016945816941,0.41970995,0.17590645,-0.068041466,-252.70427042026785
01mM_6,0.1,,1452.0,,1.6157688059208422,0.44680333,0.18591514,-0.04421222,-213.06614554437635
01mM_7,0.1,,1293.0,,1.438835444941907,0.4377123,0.14664444,-0.018463371,-170.2349146412954
1mM_4,1.0,,1519.0,,16.73698062492152,0.3238498,0.1261246,-0.067048974,-251.05333641385428
1mM_6,1.0,,1294.0,,14.257836029393317,0.3762537,0.13461281,-0.089294806,-288.05757027271983
1mM_7,1.0,,1214.0,,13.376362395427734,0.53170353,-0.028250515,0.004416041,-132.17676806338554
2mM_1,2.0,,1419.0,,30.936714889032576,0.4484282,0.20225202,-0.03305713,-194.51051361577166
2mM_2,2.0,,1277.0,,27.840863222899646,0.35536775,0.12879656,-0.045530714,-215.25936198392276
2mM_3,2.0,,1291.0,,28.146088035053598,0.34527585,0.12136546,-0.05441868,-230.04381001534585
5mM_1,5.0,81.0,953.0,0.27727059583986136,50.37381459916072,0.7260759,0.43009287,0.12106204,61.85489936386671
5mM_2,5.0,69.0,980.0,0.22644545321252219,51.80098458255771,0.69870603,0.39979947,0.09433733,17.400393578828414
10mM_2,10.0,133.0,1200.0,0.37071356307870373,121.05969693939977,0.78863585,0.5374338,0.21004055,209.86382861835037
10mM_3,10.0,102.0,1162.0,0.28713125916258786,117.22613986965212,0.7823537,0.5049511,0.194305,183.68894601039787
10mM_4,10.0,147.0,1092.0,0.46064946517979033,110.16432421485379,0.71258295,0.44080916,0.12466517,67.84843054949553
10mM_5,10.0,146.0,1055.0,0.4752704493997244,106.43165022588897,0.73308915,0.4178977,0.12743378,72.45379405859583
10mM_6,10.0,104.0,1110.0,0.3082390966569195,111.9802196689448,0.7605118,0.5032115,0.16916831,141.87598420949732
10mM_7,10.0,124.0,1061.0,0.39318535107504404,107.03694871058596,0.76373965,0.4402409,0.14180125,96.35298788749529
15mM_1,15.0,193.0,1164.0,0.5844575272253814,168.83581741567843,0.76653194,0.5019176,0.19858414,190.80696142596375
15mM_4,15.0,177.0,1189.0,0.5163747152413523,172.46201624333477,0.79140764,0.51326644,0.2211313,228.31242435187673
15mM_5,15.0,224.0,1208.0,0.6658206869630154,175.21792735235357,0.76813585,0.51221013,0.20863265,207.52188435398628
20mM_1,20.0,189.0,1201.0,0.5502986846393483,223.44105844785386,0.797484,0.4895282,0.17625773,153.66869219978824
20mM_2,20.0,238.0,1181.0,0.7345926168986578,219.72014157112025,0.8055988,0.48708382,0.19859712,190.82855084897383
20mM_3,20.0,296.0,1146.0,0.9922412508838119,213.20853703683642,0.811526,0.5383938,0.22900395,241.40798337805248
20mM_4,20.0,272.0,1150.0,0.8906244418509084,213.95272041218314,0.7909671,0.50070715,0.2435337,265.57710696192294
20mM_5,20.0,245.0,1259.0,0.7047720578649177,234.23171739038136,0.8309177,0.53906345,0.3335332,415.28436284830264
20mM_6,20.0,192.0,1145.0,0.5921271993837287,213.02249119299972,0.804919,0.5028951,0.24914105,274.9045060973548
30mM_1,30.0,318.0,1222.0,1.001467511070877,318.29667844743193,0.8200579,0.47195563,0.28844026,340.2757173947741
30mM_2,30.0,323.0,1216.0,1.0272865295410156,316.7338469656933,0.813772,0.5253484,0.32823548,406.4720114978609
30mM_3,30.0,344.0,1210.0,1.1183461726691886,315.1710154839547,0.8005682,0.51231396,0.31614226,386.3558745094517
30mM_4,30.0,295.0,1214.0,0.9204882708536133,316.21290313844713,0.8165688,0.53987396,0.31162488,378.8415655289202
50mM_1,50.0,391.0,1223.0,1.2984296742483776,473.8884630424117,0.81814104,0.5210962,0.3555824,451.9614958796682
50mM_2,50.0,492.0,1246.0,1.7139084258143278,482.8005109982379,0.8074586,0.48766825,0.34314123,431.2665838886353
50mM_4,50.0,443.0,1262.0,1.4660114302009037,489.0001965327257,0.80605114,0.45549333,0.31342918,381.84286713139113
100mM_1,100.0,711.0,1301.0,2.698724972082579,821.4784492331703,0.786415,0.45277154,0.5351522,750.6620942637522
100mM_2,100.0,769.0,1188.0,3.470160895159159,750.1278998378219,0.8233996,0.50804853,0.4818172,661.9433968037462
100mM_3,100.0,817.0,1162.0,3.939909566086917,733.7109592689807,0.82800907,0.5179274,0.46004477,625.7266563590501
